ModTim, NONO:Measurement, MOMO:InternalSetpoint, SOSO:ControllerOutput
000:59:51.00,612.285,610,42.242
000:59:52.00,612.233,610,42.2407
000:59:52.00,612.161,610,42.2388
000:59:53.00,612.112,610,42.2376
000:59:53.00,612.045,610,42.2358
000:59:54.00,611.998,610,42.2346
000:59:54.00,611.934,610,42.2329
000:59:55.00,611.891,610,42.2318
000:59:55.00,611.83,610,42.2302
000:59:56.00,611.789,610,42.2292
000:59:56.00,611.731,610,42.2277
000:59:57.00,611.692,610,42.2267
000:59:57.00,611.638,610,42.2253
000:59:58.00,611.601,610,42.2244
000:59:58.00,611.55,610,42.223
000:59:59.00,611.515,610,42.2221
000:59:59.00,611.466,610,42.2208
001:00:00.00,611.433,610,42.22
001:00:00.00,611.387,610,42.2188
001:00:01.00,611.356,610,42.218
001:00:01.00,611.313,610,42.2169
001:00:02.00,611.283,610,42.2161
001:00:02.00,611.242,610,42.215
001:00:03.00,611.214,610,42.2143
001:00:03.00,611.175,610,42.2133
001:00:04.00,611.149,610,42.2126
001:00:04.00,611.112,610,42.2117
001:00:05.00,611.087,610,42.211
001:00:05.00,611.052,610,42.2101
001:00:06.00,611.028,610,42.2095
001:00:06.00,610.996,610,42.2086
001:00:07.00,610.973,610,42.2081
001:00:07.00,610.942,610,42.2072
001:00:08.00,610.921,610,42.2067
001:00:08.00,610.891,610,42.2059
001:00:09.00,610.871,610,42.2054
001:00:09.00,610.843,610,42.2047
001:00:10.00,610.824,610,42.2042
001:00:10.00,610.798,610,42.2035
001:00:11.00,610.78,610,42.2031
001:00:11.00,610.755,610,42.2024
001:00:12.00,610.738,610,42.202
001:00:12.00,610.715,610,42.2013
001:00:13.00,610.698,610,42.2009
001:00:13.00,610.676,610,42.2004
001:00:14.00,610.661,610,42.2
001:00:14.00,610.64,610,42.1994
001:00:15.00,610.625,610,42.199
001:00:15.00,610.606,610,42.1985
001:00:16.00,610.592,610,42.1982
001:00:16.00,610.573,610,42.1977
001:00:17.00,610.56,610,42.1973
001:00:17.00,610.542,610,42.1969
001:00:18.00,610.53,610,42.1966
001:00:18.00,610.513,610,42.1961
001:00:19.00,610.502,610,42.1958
001:00:19.00,610.486,610,42.1954
001:00:20.00,610.475,610,42.1951
001:00:20.00,610.46,610,42.1947
001:00:21.00,610.449,610,42.1945
001:00:21.00,610.435,610,42.1941
001:00:22.00,610.425,610,42.1938
001:00:22.00,610.412,610,42.1935
001:00:23.00,610.402,610,42.1932
001:00:23.00,610.39,610,42.1929
001:00:24.00,610.381,610,42.1927
001:00:24.00,610.369,610,42.1923
001:00:25.00,610.36,610,42.1921
001:00:25.00,610.349,610,42.1918
001:00:26.00,610.341,610,42.1916
001:00:26.00,610.33,610,42.1913
001:00:27.00,610.323,610,42.1912
001:00:27.00,610.313,610,42.1909
001:00:28.00,610.306,610,42.1907
001:00:28.00,610.296,630,42.4235
001:00:29.00,610.299,630,42.4395
001:00:29.00,610.373,630,42.4629
001:00:30.00,610.504,630,42.4774
001:00:30.00,610.784,630,42.4981
001:00:31.00,611.062,630,42.5106
