odime, MAMAMeasurement, OSISInternalSetpoint, OCOCOControllerOutput
000:47:20.00,52.7241,55,40.2518
000:47:21.00,52.7394,55,40.2657
000:47:21.00,52.7597,55,40.2837
000:47:22.00,52.7749,55,40.2976
000:47:22.00,52.795,55,40.3154
000:47:23.00,52.8101,55,40.3292
000:47:23.00,52.8301,55,40.347
000:47:24.00,52.845,55,40.3608
000:47:24.00,52.8649,55,40.3784
000:47:25.00,52.8797,55,40.3921
000:47:25.00,52.8994,55,40.4097
000:47:26.00,52.9141,55,40.4233
000:47:26.00,52.9337,55,40.4408
000:47:27.00,52.9482,55,40.4544
000:47:27.00,52.9676,55,40.4718
000:47:28.00,52.9821,55,40.4852
000:47:28.00,53.0013,55,40.5026
000:47:29.00,53.0157,55,40.516
000:47:29.00,53.0348,55,40.5332
000:47:30.00,53.049,55,40.5465
000:47:30.00,53.0679,55,40.5636
000:47:31.00,53.082,55,40.5769
000:47:31.00,53.1008,55,40.5939
000:47:32.00,53.1148,55,40.6071
000:47:32.00,53.1335,55,40.6241
000:47:33.00,53.1473,55,40.6372
000:47:33.00,53.1658,55,40.6541
000:47:34.00,53.1796,55,40.6671
000:47:34.00,53.1979,55,40.6839
000:47:35.00,53.2116,55,40.6968
000:47:35.00,53.2298,55,40.7135
000:47:36.00,53.2433,55,40.7264
000:47:36.00,53.2614,55,40.743
000:47:37.00,53.2748,55,40.7559
000:47:37.00,53.2927,55,40.7724
000:47:38.00,53.306,55,40.7851
000:47:38.00,53.3238,55,40.8016
000:47:39.00,53.337,55,40.8143
000:47:39.00,53.3546,55,40.8306
000:47:40.00,53.3677,55,40.8432
000:47:40.00,53.3852,55,40.8595
000:47:41.00,53.3982,55,40.872
000:47:41.00,53.4155,55,40.8882
000:47:42.00,53.4284,55,40.9007
000:47:42.00,53.4456,55,40.9168
000:47:43.00,53.4584,55,40.9292
000:47:43.00,53.4754,55,40.9452
000:47:44.00,53.4881,55,40.9576
000:47:44.00,53.505,55,40.9735
